Population by capital city in Australia,,
Sydney,"5,297,089",
Melbourne,"5,031,195",
Brisbane,"2,628,083",
Adelaide,"1,418,455",
Perth,"2,224,475",
Hobart,"252,693",
Darwin,"149,582",
Canberra,"456,692",
,,
